Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,Razón,Social,,,,,,
GRUPO,SUPER,FAMILIA,SPA,2025-07-24,,,,
75251,ESERMA,FOREST,SPA,2025-07-24,,,,
75252,GLOBAL,MECANICA,SPA,2025-07-24,,,,
75253,MAESTRANZA,SERGIO,MOLINA,EIRL,2025-07-24,,,
75254,VIDA,CIRCULAR,SPA,2025-07-24,,,,
75255,THERMOSUR,LIMITADA,2025-07-24,,,,,
75256,BSPONSOR,SPA,2025-07-24,,,,,
75257,SEGURIDAD,INTEGRAL,HERMMAN,BUSTAMANTE,E.I.R.L.,2025-07-24,,
75258,BORDADOS,TEMUCO,SPA,2025-07-24,,,,
75259,CONSTRUCTORA,HALTRA,LIMITADA,2025-07-24,,,,
75260,INGENIERÍA,Y,CONSTRUCCIÓN,MARCELO,CÁRDENAS,REYES,E,2025-07-24
75261,HC,ANTUINGENIERIA,SPA,2025-07-24,,,,
