Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,
78.178.775-2,VALKÓ,SOLUCTIONS,SPA,2025-07-24,,,,,
VERSATEK,ASESORIAS,Y,,,,,,,
99385,78.179.922-K,2025-07-24,,,,,,,
MEB,INGENIERÍA,Y,,,,,,,
99386,78.180.679-K,2025-07-24,,,,,,,
EMPRESA,DE,ASEO,MARÍA,JOSÉ,,,,,
99387,78.180.896-2,2025-07-24,,,,,,,
VENEGAS,JARA,E.I.R.L.,,,,,,,
SOCIEDAD,DE,INVERSIONES,,,,,,,
99388,78.182.905-6,2025-07-24,,,,,,,
COMIGUAL,Y,ESCHMANN,SPA,,,,,,
TRANSPORTE,Y,SERVICIOS,,,,,,,
99389,78.183.768-7,2025-07-24,,,,,,,
INTEGRALES,DEL,NORTE,SPA,,,,,,
99390,78.184.465-9,SOCIEDAD,BRAVO,SPA,2025-07-24,,,,
99391,78.184.561-2,BAGOZU,SPA,2025-07-24,,,,,
99392,78.184.625-2,AEROINGENIERIA,SPA,2025-07-24,,,,,
SERVICIO,DE,APOYO,GENERALES,,,,,,
99393,78.185.203-1,A,INSTALACIONES,ESAE,2025-07-24,,,,
99394,78.186.078-6,OBRAS,Y,SERVICIOS,C,Y,C,SPA,2025-07-24
99395,78.186.083-2,COE,INGENIERÍA,Y,OBRAS,SPA,2025-07-24,,
