Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ARCÁNGEL,SPA,2025-07-24,,,,,,
77.657.933-,OBRAS,MENORES,MARCO,ANTONIO,RAIMILLA,BURDILES,E.I.R.,
75656,SERVICIOS,DE,FOTOCOPIADO,LADY,MIRANDA,PIZARRO,E.I.R.L.,2025-07-24
75657,CONSTRUCCION,DESARROLLOS,SPA,2025-07-24,,,,
75658,REDLAB,S.A,2025-07-24,,,,,
75659,KARVEC,SPA,2025-07-24,,,,,
75660,AUTOMOTRIZ,DON,MARTIN,SPA,2025-07-24,,,
75661,GALLARDO,LANZELLOTE,&,ASOCIADOS,LIMITADA,2025-07-24,,
75662,EDICIONES,CAMILO,ANDRES,ARAYA,FUENTES,E.I.R.L,2025-07-24,
75663,COMERCIALIZADORA,RODRIGUEZ,ANTICONA,SPA,2025-07-24,,,
75664,PIMIENTA,SPA,2025-07-24,,,,,
75665,IMAGEN,CREATIVA,ANTOFAGASTA,SPA,2025-07-24,,,
