Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
85022,B&J,TECH,SOLUTIONS,,
85023,77.960.555-8,FÉNIX,RENTAL,SPA,2025-07-24
85024,77.552.068-K,OVLLE,3D,SPA,2025-07-24
85025,78.006.542-7,EMPRENDECAP,SPA,2025-07-24,
85026,78.007.142-7,ALLCOMMERCE,SPA,2025-07-24,
85027,78.153.368-8,BIOLEMU,SPA,2025-07-24,
85028,78.006.805-1,GESTIÓN,INTEGRAL,2025-07-24,
85029,78.007.227-K,PROVEEDORES,Y,2025-07-24,
PRODUCCIÓN,DE,AGUAS,,,
85030,77.960.591-4,MINERALES,VERTIENTES,2025-07-24,
DEL,GUAYAQUIL,SPA,,,
85031,78.063.629-7,2025-07-24,,,
85032,76.975.196-3,2025-07-24,,,
