Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
88.422.600-7,CIS,Consultores.,2025-07-24,,,,
79962,77.795.286-2,SMART,ESTUDIO,SPA,2025-07-24,,
79963,77.847.126-4,2025-07-24,,,,,
79964,77.769.558-4,2025-07-24,,,,,
79965,88.427.300-5,PEDRO,CUMSILLE,Y,CIA,LTDA,2025-07-24
79966,77.736.262-3,COMERCIAL,FULL,LIMITADA,2025-07-24,,
79967,88.466.300-8,TECNOFARMA,S,A,2025-07-24,,
79968,77.833.839-4,2025-07-24,,,,,
79969,77.797.193-K,TRANSPORTES,AM,LIMITADA,2025-07-24,,
79970,77.196.967-4,ARBORISMO,FENIX,SPA,2025-07-24,,
JOHN,LUER,CONSULTING,,,,,
79971,77.833.954-4,2025-07-24,,,,,
79972,77.197.745-6,REAS,SERVICE,SPA,2025-07-24,,
