Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.987.397-K,ERGONOMIA,MAC,SPA,2025-07-24,,,
CONSORCIO,ABASTERM,-,,,,,
62457,76.644.659-0,2025-07-24,,,,,
62458,92.642.000-3,ARTEL,S,A,I,C,2025-07-24
62459,77.053.256-6,2025-07-24,,,,,
62460,76.251.741-8,MULTITUDINE,SPA..-,2025-07-24,,,
Ingeniera,y,construcción,,,,,
62461,76.645.216-7,2025-07-24,,,,,
Robinson,Madriaza,herrera,,,,,
62462,93.020.000-K,TECNIGEN,S,A,2025-07-24,,
62463,76.503.000-5,Tical,2025-07-24,,,,
62464,77.046.893-0,2025-07-24,,,,,
COMERCIAL,ISA,&,CATA,,,,
62465,77.577.386-3,2025-07-24,,,,,
62466,93.711.000-6,2025-07-24,,,,,
62467,76.646.562-5,Christian,Rodrigo,2025-07-24,,,
