Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
53412,ALUMINIOS,CONTRERAS,,,
53413,77.279.166-6,OTCONSULTING,SPA,2025-07-24,
53414,76.701.114-8,2025-07-24,,,
53415,78.081.972-3,2025-07-24,,,
53416,76.077.455-3,IT,WALL,S.A.,2025-07-24
53417,77.280.677-9,2025-07-24,,,
53418,77.933.429-5,FUENTESGUIÑEZ,SPA,2025-07-24,
53419,19.790.585-9,2025-07-24,,,
INSUMOS,Y,SERVICIOS,,,
53420,78.088.629-3,2025-07-24,,,
53421,76.645.572-7,ENERGÍAS,LIMPIAS,SPA,2025-07-24
53422,76.702.595-5,PRODUCCIONES,2025-07-24,,
