Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
77.338.254-9,JOMAQ,SPA,2025-07-24,,,,,
69606,77.250.065-3,ECOMPANY,SPA,2025-07-24,,,,
SOCIEDAD,DE,SERVIVIOS,,,,,,
69607,77.367.863-4,INTEGRALES,C&C,2025-07-24,,,,
69608,76.846.100-7,IMP,Y,EXP,LONG,FU,LTDA,2025-07-24
69609,76.276.116-5,2025-07-24,,,,,,
69610,77.338.774-5,2025-07-24,,,,,,
69611,77.369.059-6,DISTRIBUIDORA,DOS,2025-07-24,,,,
WORLD,MEDICAL,CHILE,,,,,,
69612,76.276.465-2,2025-07-24,,,,,,
69613,77.861.495-2,2025-07-24,,,,,,
PARADA,Y,ULLOA,,,,,,
69614,77.561.174-K,2025-07-24,,,,,,
JUAN,CARLOS,VIDAL,,,,,,
