Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
SOCIEDAD,MÉDICA,CATALÁN,Y,SALAZAR,LIMITADA,2025-07-24,,,
75537,REPARADORA,PEDRO,ALEJANDRO,FUENTEALBA,JARA,E.I.R.L.,2025-07-24,,
75538,ALIMENTOS,ASTURIAS,S,A,2025-07-24,,,,
75539,CONSTRUCCIÓN,JUAN,PAN,DE,FRANCISCO,E.I.R.L.,2025-07-24,,
75540,HERCON,SPA,2025-07-24,,,,,,
77.569.470-,SERVICIOS,DE,PUBLICIDAD,Y,COMUNICACIONES,PUNTO,,,
K,CREATIVO,LIMITADA,,,,,,,
76.932.354-,COMERCIALIZADORA,ARTICULOS,ELÉCTRICOS,DAVID,ANDRES,,,,
6,CAAMAÑO,MORALES,E.I,,,,,,
75543,DR,HECTOR,GALLEGUILLOS,Y,COMPANIA,LIMITADA,2025-07-24,,
75544,PATRICK,GLASS,SPA,2025-07-24,,,,,
75545,EMPRESA,DE,SOLUCIONES,TECNOLÓGICAS,INTEGRALES,SPA,2025-07-24,,
75546,GRUPO,INNOVACION,DIGITAL,SPA,2025-07-24,,,,
75547,CERRO,AZUL,SERVICIOS,DE,TOPOGRAFÍA,E,INGENIERA,SPA,2025-07-24
