Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,,,
77.635.173-3,SERVICIOS,S&P,SPA,2025-07-24,,,
71397,77.451.876-2,TRANQUILEIN,MEDIA,SPA,2025-07-24,,
71398,77.441.938-1,MEJORANDO,TU,LIMPIEZA,SPA,2025-07-24,
71399,76.733.567-9,CONSTRUCTORA,LAGO,ATRAVESADO,E.I.R.L.,2025-07-24,
71400,77.636.012-0,SOCIEDAD,COMERCIAL,KO,SPA,2025-07-24,
71401,76.925.729-2,MANTEN,HOME,SPA,2025-07-24,,
71402,76.917.500-8,MILEIDYS,DAVALOS,Y,CIA,LTDA,2025-07-24
71403,77.371.990-K,CORREDORES,DE,SEGUROS,SECURITY,LIMITADA,2025-07-24
MANUEL,NABOR,ZUÑIGA,NEIRA,SOCIEDAD,,,
71404,77.484.959-9,2025-07-24,,,,,
71405,77.350.345-1,INVERSIONES,LINARES,NAVA,LIMITADA,2025-07-24,
HELADOS,Y,ALIMENTOS,PAULA,BURG,Y,CIA,
71406,77.443.050-4,2025-07-24,,,,,
71407,77.372.771-6,LUCESBIEN_1,SPA,2025-07-24,,,
