Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
77.472.385-4,V,Y,C,ELECTRICIDAD,SPA,2025-07-24,
71049,76.715.271-K,CLEAN,FULL,SPA,2025-07-24,,
FIMPRES,FREDDY,NELSON,INOSTROZA,MEDINA,E.,,
71050,77.437.163-K,2025-07-24,,,,,
COMERCIALIZADORA,DE,INSUMOS,VARIOS,ROSA,,,
71051,77.921.579-2,2025-07-24,,,,,
ELVIRA,ARAYA,LAGOS,E.I.R.L.,,,,
71052,76.341.539-2,EMERGER,LIMITADA,2025-07-24,,,
71053,77.323.146-K,REPOSTERÍA,ISABEL,PONCE,BALBOA,E.I.R.L.,2025-07-24
71054,76.715.440-2,ELEMEC,ELECTRICIDAD,Y,MECANICA,LIMITADA,2025-07-24
71055,77.332.371-2,OCM,SPA,2025-07-24,,,
71056,77.438.590-8,SEGURIDAD,PRIVADA,ALFA,LIMITADA,2025-07-24,
PRODUCCIÓNES,AUDIOVISUALES,NICOLAS,,,,,
71057,77.475.208-0,2025-07-24,,,,,
71058,77.416.436-7,SOCIEDAD,DE,CONSTRUCCIONES,S&S,SPA,2025-07-24
71059,77.355.313-0,PRO,SERVICIOS,SPA,2025-07-24,,
