Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
INGENIERÍA,Y,GESTIÓN,,,
77.948.264-2,ZAMORANO,&,AVALOS,2025-07-24,
83504,77.895.105-3,TRANSFORMACIÓN,2025-07-24,,
83505,78.074.472-3,IMPRIME,ARAUCANÍA,SPA,2025-07-24
83506,77.937.657-5,2025-07-24,,,
GLOBAL,HUB,LEARNING,,,
83507,77.895.532-6,2025-07-24,,,
83508,78.074.713-7,INTEGRAL,ROBINSON,2025-07-24,
83509,77.897.011-2,PROFESIONALES,GRUPO,2025-07-24,
83510,77.441.369-3,CATERINE,SALAZAR,2025-07-24,
83511,78.075.357-9,2025-07-24,,,
VILLANUEVA,OJEDA,E.I.R.,,,
83512,77.995.266-5,2025-07-24,,,
