Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
SALAZAR,Y,PINO,SPA,,
theraplay,terapia,de,juego,,
70628,76.323.652-8,2025-07-24,,,
vincular,nicole,charney,,,
70629,77.307.107-1,EDIFITEC,SPA,2025-07-24,
70630,77.907.950-3,Estudio,Carey,Limitada,2025-07-24
GESTIÓN,E,INVERSIONES,,,
70631,77.394.864-K,2025-07-24,,,
70632,77.413.777-7,PESCA,ARTESANAL,2025-07-24,
70633,77.332.468-9,2025-07-24,,,
CENTER,FOR,CULTURAL,,,
70634,77.307.132-2,TRANSFORMATION,AND,2025-07-24,
70635,77.608.267-8,JJMT,GROUP,SPA,2025-07-24
TERRAZAS,Y,SABORES,,,
70636,77.397.661-9,2025-07-24,,,
70637,77.309.689-9,2025-07-24,,,
KARTING,E,EQUIPOS,,,
