Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.552.387-5,JC,INGENIERÍA,SPA,2025-07-24,
85046,78.067.766-K,CIBA,WORK,SPA,2025-07-24
85047,78.008.091-4,2025-07-24,,,
INGENIERÍA,A&R,SPA,,,
85048,77.987.281-5,2025-07-24,,,
85049,78.153.713-6,2025-07-24,,,
85050,78.008.241-0,2025-07-24,,,
85051,78.064.846-5,LAGO,VARGAS,SPA,2025-07-24
85052,76.975.536-5,FÁCILCNC,SPA,2025-07-24,
85053,77.552.443-K,TECNOLOGÍAS,C4,SPA,2025-07-24
85054,78.067.953-0,MIROPOSITIVO,SPA,2025-07-24,
85055,78.153.784-5,MULTIDEPORTE,PRO,SPA,2025-07-24
