Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
70054,DESTILERÍA,NACIONAL,,,,,,
70055,76.294.160-0,WTCS,2025-07-24,,,,,
70056,77.387.587-1,RIMA,O,TE,RAPA,NUI,SPA,2025-07-24
70057,77.580.334-7,SERVICIOS,G&G,SPA,2025-07-24,,,
70058,77.362.397-K,VENTO,MARE,SPA,2025-07-24,,,
70059,76.294.265-8,2025-07-24,,,,,,
ENDRESS,+,HAUSER,CHILE,,,,,
70060,77.388.600-8,2025-07-24,,,,,,
C,Y,C,GESTION,,,,,
70061,77.424.454-9,INMOBILIARIA,Y,OBRAS,2025-07-24,,,
70062,77.291.877-1,2025-07-24,,,,,,
70063,77.879.933-2,2025-07-24,,,,,,
70064,77.292.701-0,2025-07-24,,,,,,
