Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
ILUMINACION,Y,OBRAS,,,,
76.068.476-7,CONSTRUCCION,JUAN,2025-07-24,,,
47132,77.921.015-4,TIERRA,AUSTRAL,SPA,2025-07-24,
REINOSO,SAN,MARTÍN,,,,
47133,77.930.152-4,2025-07-24,,,,
47134,76.370.893-4,2025-07-24,,,,
47135,76.427.322-2,2025-07-24,,,,
47136,77.921.172-K,2025-07-24,,,,
47137,77.107.039-6,CONSULTORA,FIDUM,SPA,2025-07-24,
47138,76.645.424-0,COMERCIAL,MBS,SPA,2025-07-24,
VC,Valdivia,Claveria,,,,
47139,76.371.467-5,2025-07-24,,,,
ALIMENTOS,ROSA,IRENE,,,,
47140,77.737.088-K,2025-07-24,,,,
DINAMARCA,GODOY,E.I.R.,,,,
47141,17.494.339-7,2025-07-24,,,,
