Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
78.042.631-4,INMOBILIARIA,INNOVA,2025-07-24,,
97194,78.043.188-1,F50,SPA,2025-07-24,
97195,78.043.327-2,2025-07-24,,,
DARLIN,MOLINA,ROSAS,,,
97196,77.616.832-7,2025-07-24,,,
ALIMENTACIÓN,Y,FOOD,,,
97197,78.043.459-7,COMERCIAL,JRD,SPA,2025-07-24
97198,77.617.180-8,2025-07-24,,,
CAZOR,Y,CIA,LTDA,,
97199,78.043.491-0,ECOINDUSTRIA,Y,2025-07-24,
97200,77.617.395-9,BETTERCOLD,SPA,2025-07-24,
97201,78.043.884-3,DARI,CONSULTORES,SPA,2025-07-24
TRANSPORTE,DE,CARGA,,,
97202,77.617.796-2,Y,PASAJEROS,DRESDEN,2025-07-24
97203,77.617.891-8,FAMILIA,WHITE,SPA,2025-07-24
