Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
UNIPACK,S.A.,2025-07-24,,,,,,,
75763,PRODUCTORA,Y,COMERCIALIZADORA,PANIMIX,LIMITADA,2025-07-24,,,
75764,SUMINISTROS,MEDICOS,MEDIEXPRESS,SPA,2025-07-24,,,,
75765,BRILLIANT,CLEANING,SPA,2025-07-24,,,,,
76.555.490-,SOC,MEDICA,E,INVERSIONES,BORIS,GARCIA,RODRIGUEZ,Y,CIA
75767,CONSTRUCTORA,LEXUS,LIMITADA,2025-07-24,,,,,
PAULA,CARRASCO,FABRICACIÓN,Y,VENTA,DE,MANUALIDADES,,,
75768,Y,PLANTAS,EMPRESA,INDIVIDUAL,DE,RESPONSABILIDAD,2025-07-24,,
75769,CAMPOS,AUTOMOTRIZ,SPA,2025-07-24,,,,,
76.555.758-,BAUPRO,SERVICIOS,INTEGRALES,DE,INGENIERÍA,Y,,,
5,CONSTRUCCIÓN,SPA,,,,,,,
75771,CONSTRUCTORA,Y,COMERCIALIZADORA,RUKAN,SPA,2025-07-24,,,
77.063.158-,CONFECCIÓN,DE,ETIQUETAS,E,IMPRESIONES,FIORE,,,
0,ALEJANDRA,MUÑOZ,GONZÁLEZ,E.I.R.L.,,,,,
