Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
FYF,ART,DESING,SPA,2025-07-24,,,,
75097,INVERSIONES,MISAEL,DE,LA,FUENTE,SPA,2025-07-24,
75098,RENENET,SPA,2025-07-24,,,,,
75099,SERVICIOS,INTEGRALES,CLSYSTEM,LIMITADA,2025-07-24,,,
75100,CR,ECOPACKAGING,SPA,2025-07-24,,,,
75101,CONSTRUCCIONES,PATRICIO,REYES,E.I.R.L.,2025-07-24,,,
DISTRIBUIDORA,Y,COMERCIAL,FERNANDO,ANDRES,REYES,,,
75102,SALINAS,EMPRESA,INDIVIDUAL,DE,RESPONSABILIDAD,2025-07-24,,
75103,cs,promochile,gloria,soto,e,hijos,limitada,2025-07-24
75104,ESPACIO,FAMILIAR,SPA,2025-07-24,,,,
75105,TURISMO,Y,TRANSPORTES,CVAN,SPA,2025-07-24,,
75106,VULCANIZACIÓN,HERMANOS,CASTILLO,Y,ZUÑIGA,LIMITADA.,2025-07-24,
