Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
JIMENEZ,Y,HERNANDEZ,,,,,
88307,78.193.859-9,CONSTRUCTORA,D31,SPA,2025-07-24,,
88308,78.133.765-K,CASA,MOLLER,SPA,2025-07-24,,
88309,77.226.736-3,RITELUX,SPA,2025-07-24,,,
88310,8.359.026-2,2025-07-24,,,,,
SOC,PROYECTO,NORTE,,,,,
88311,77.141.700-0,2025-07-24,,,,,
88312,78.196.137-K,ALFA,SPA,2025-07-24,,,
88313,78.134.551-2,2025-07-24,,,,,
88314,77.227.485-8,A,&,M,PREVER,SPA,2025-07-24
88315,78.108.026-8,FUSION,ECOLOGIC,SPA,2025-07-24,,
88316,77.086.095-4,DALUZ,SPA,2025-07-24,,,
CENTRO,TURISTICO,LA,,,,,
88317,78.716.820-5,2025-07-24,,,,,
