Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
77001,77.631.993-7,MADERA,CON,PROPOSITO,SPA,2025-07-24,,,,
77002,77.667.293-9,SUPRA,AUSTRAL,SPA,2025-07-24,,,,,
77003,76.623.770-3,ASP,CAPACITACION,LIMITADA,2025-07-24,,,,,
77004,77.710.282-6,API,SPA,2025-07-24,,,,,,
77005,78.173.370-9,TELECOMUNICACIONES,2025-07-24,,,,,,,
77006,77.720.506-4,2025-07-24,,,,,,,,
SERVICIOS,DE,ALIMENTACIÓN,,,,,,,,
77007,77.667.407-9,2025-07-24,,,,,,,,
MARIANA,DÍAZ,ALIAGA,E.I.R.L.,,,,,,,
Productora,de,eventos,Mbpro,,,,,,,
77008,76.623.896-3,2025-07-24,,,,,,,,
77009,78.173.531-0,BOSZAR,GROUP,SPA,2025-07-24,,,,,
77010,77.720.697-4,2025-07-24,,,,,,,,
77011,77.633.774-9,INVERSIONES,JR,SPA,2025-07-24,,,,,
