Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
79.785.840-4,ORTOMEDICA,LIFANTE,S.A.,2025-07-24,,,,
DOÑA,NINA,JUAN,MANUEL,,,,,
98413,77.938.651-1,2025-07-24,,,,,,
MARABOLÍ,CABEZAS,E.I.R.L.,,,,,,
98414,79.844.680-0,CLASIFICADORA,DE,RIESGO,2025-07-24,,,
98415,79.848.760-4,R,G,INGENIEROS,LTDA,2025-07-24,,
GAS,SERGIO,HERRERA,,,,,,
98416,77.938.853-0,2025-07-24,,,,,,
PRODUCTORA,DE,"EVENTOS,",,,,,,
98417,77.939.546-4,AUDIO,E,ILUMINACIÓN,2025-07-24,,,
PROFESIONAL,HORUS,SPA,,,,,,
EDUCACION,DE,PARVULOS,,,,,,
98418,79.870.690-K,2025-07-24,,,,,,
98419,77.941.781-6,2025-07-24,,,,,,
98420,79.883.640-4,E,Y,B,CONSTRUCCIONES,S,A,2025-07-24
98421,77.941.810-3,DISTRIBUIDORA,CHIBRALUX,2025-07-24,,,,
98422,77.942.164-3,INVERSIONES,CORCA,SPA,2025-07-24,,,
