Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.151.704-6,INGENIERÍA,Y,2025-07-24,,,,
85012,77.987.279-3,2025-07-24,,,,,
85013,78.066.169-0,AUTOMOTRICES,DRIVO,2025-07-24,,,
85014,77.547.399-1,2025-07-24,,,,,
85015,78.005.774-2,TRANSPORTES,C,Y,D,SPA,2025-07-24
85016,78.007.004-8,W,&,N,SPA,2025-07-24,
85017,78.152.931-1,2025-07-24,,,,,
85018,76.973.864-9,2025-07-24,,,,,
85019,78.067.199-8,CONSTRUCTORA,MOPP,2025-07-24,,,
PUKA,PATRIMONIO,Y,,,,,
85020,78.062.888-K,2025-07-24,,,,,
85021,76.974.507-6,MATHERR,SPA,2025-07-24,,,
