Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
92950,SOLETANCHE,BACHY,,,,,
CHILE,S,A,,,,,
92951,96.677.780-K,COMERCIAL,TRIX,S.A.,2025-07-24,,
92952,96.515.660-7,Cencomex,S.A.,2025-07-24,,,
92953,77.418.244-6,SERVICIOS,M&G,SPA,2025-07-24,,
IMPORT,Y,EXPORT,DE,,,,
92954,77.418.387-6,ROPA,Y,ACCESORIOS,LAY-,2025-07-24,
STAR,MODA,SPA,,,,,
92955,96.533.660-5,ERAL-CHILE,S,A,2025-07-24,,
V&B,SERVICIOS,Y,,,,,
92956,77.418.422-8,2025-07-24,,,,,
92957,96.541.690-0,DISTRIBUIDORA,Y,2025-07-24,,,
SERVICIOS,COMDISER,S,A,,,,
92958,96.702.560-7,MOVILES,DE,CHILE,S,A,2025-07-24
INMOBILIARIA,CLUB,DE,,,,,
92959,96.710.110-9,DEPORTES,NAUTICOS,2025-07-24,,,
RELONCAVI,S,A,,,,,
92960,96.724.760-K,2025-07-24,,,,,
BITUMINOSOS,S,A,,,,,
