Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.370.796-0,PAINTING,SPA,2025-07-24,,,,,
71385,77.634.877-5,SUPERMERCADO,LA,COLCHAGUINA,SPA,2025-07-24,,
71386,77.484.472-4,JF,EVENTOS,SPA,2025-07-24,,,
71387,77.349.344-8,AKU,LIFE,SPA,2025-07-24,,,
71388,76.917.022-7,INVERSIONES,A,&,E,SPA,2025-07-24,
71389,77.338.250-6,SOCIEDAD,COMERCIAL,CINTEC,LTDA,2025-07-24,,
71390,77.441.452-5,HOSTAL,SERVICIOS,EVENTOS,PRAT,II,SPA,2025-07-24
71391,77.932.648-9,MADERERA,TRIBEJO,SPA,2025-07-24,,,
71392,77.349.487-8,SERVICIOS,GARCÍA,SPA,2025-07-24,,,
71393,76.925.727-6,CONSTRUCTORA,GRIZEUS,SPA,2025-07-24,,,
71394,77.441.704-4,MAKTUB,ASEO,INDUSTRIAL,SPA,2025-07-24,,
71395,77.933.173-3,INGENIERÍA,SIMPLE,SPA,2025-07-24,,,
