Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77777,GECE,SERVICIOS,INTEGRALES,,,
77778,77.153.648-4,2025-07-24,,,,
77779,77.695.283-4,FCALSE,SPA,2025-07-24,,
77780,77.744.898-6,G,RIEGO,SPA,2025-07-24,
SIMULACION,Y,EXPERIENCIAS,,,,
77781,77.632.281-4,2025-07-24,,,,
77782,77.695.861-1,SINERGY,SPA,2025-07-24,,
77783,77.671.043-1,CONTACTO,VISUAL,SPA,2025-07-24,
77784,77.744.979-6,Q-LOOP,SPA,2025-07-24,,
DOCTORA,MARIA,FRANCISCA,,,,
77785,77.696.626-6,2025-07-24,,,,
CARRASCO,ZUNINO,Y,,,,
77786,77.125.577-9,AUSTRAL,NETWORKS,SPA,2025-07-24,
77787,76.680.386-5,VENTAS,ELECTRÓNICAS,2025-07-24,,
