Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.355.102-4,FRANCISCO,CONCHA,E.I.,2025-07-24,,,
54722,76.661.760-3,CORESOLCAPACITACION,2025-07-24,,,,
54723,78.121.936-3,J,&,O,VENTURES,SPA,2025-07-24
Mª,TERESA,Y,CECILIA,,,,
54724,76.692.654-1,URQUIETA,ALVAREZ,2025-07-24,,,
NAVARRO,DISEÑO,Y,,,,,
54725,76.723.793-6,2025-07-24,,,,,
54726,65.206.925-8,2025-07-24,,,,,
ARTESANOS,DE,VIÑA,DEL,,,,
54727,78.121.954-1,HC,CHILE,SPA,2025-07-24,,
54728,76.693.087-5,2025-07-24,,,,,
54729,76.750.174-9,FLAVIO,NOVOA,NOVOA,2025-07-24,,
54730,65.209.313-2,FUNDACIÓN,CINEURO,2025-07-24,,,
