Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
TRANSPORTES,BERRIOS,SPA,2025-07-24,,,,,
75810,SALUD,INTEGRAL,Y,SERVICIOS,GENERALES,ALMA,SPA,2025-07-24
75811,SOLITARIO,STUDIO,SPA,2025-07-24,,,,
75812,SOCIAL,UP,SPA,2025-07-24,,,,
75813,MOVACC,SpA,2025-07-24,,,,,
75814,CONSTRUCCION,Y,MUEBLERIA,JOSE,ULLOA,E.I.R.L.,2025-07-24,
75815,SERVICIOS,PROFESIONALES,EN,ARQUEOLOGÍA,Y,PATRIMONI,2025-07-24,
75816,C,&,R,HIDRAULICA,SPA,2025-07-24,,
75817,MYR,REPARACIONESINFLABLES,2025-07-24,,,,,
77.668.311-,RESTAURANTES,Y,SERVICIOS,DE,COMIDAS,MÓVILES,NICOLE,
6,ARAYA,LEMUS,E.I.R.L.,,,,,
75819,CYR,CONSTRUCCION,Y,REMODELACION,LIMITADA,2025-07-24,,
75820,CONSTRUCTORA,F,Y,M,SPA,2025-07-24,,
