Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
96272,DHL,EXPRESS,(CHILE),,,,,
96273,87.008.600-8,SOC,JET,LTDA,Y,CIA,CPA,2025-07-24
96274,87.664.400-2,2025-07-24,,,,,,
96275,87.767.700-1,2025-07-24,,,,,,
CARVAJAL,ABARZUA,Y,,,,,,
96276,87.972.700-6,2025-07-24,,,,,,
96277,77.432.213-2,NAVARRO,Y,AVALOS,SPA,2025-07-24,,
96278,77.919.081-1,2025-07-24,,,,,,
96279,88.047.000-0,2025-07-24,,,,,,
MEDICA,CENTROMED,S,A,,,,,
SERVICIO,DE,ASESORIAS,,,,,,
TECNOLOGICAS,Y,DE,,,,,,
96280,77.432.258-2,2025-07-24,,,,,,
CONTROL,JUAN,LUIS,,,,,,
96281,88.279.700-7,IMEIN,S.A.,2025-07-24,,,,
96282,77.432.981-1,SUPPLY,SERVICE,SPA,2025-07-24,,,
