Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
76.431.356-9,Inversiones,AMG,Med,SpA,2025-07-24,
103108,76.431.637-1,2025-07-24,,,,
103109,76.432.188-K,Rutas,Australes,SpA.,2025-07-24,
SOCIEDAD,MEDICA,Y,,,,
103110,76.432.270-3,SERVICIOS,MUNOZ,2025-07-24,,
103111,76.432.325-4,INVERSIONES,KARL,&,2025-07-24,
LED,FOOD,TRUCK,CHILE,,,
103112,76.432.396-3,2025-07-24,,,,
103113,76.432.553-2,INVERSIONES,MUVAPER,2025-07-24,,
MI,JARDÍN,DE,FRUTAS,,,
103114,76.433.315-2,CLAUDIA,ALEJANDRA,2025-07-24,,
GUILLERMO,PINO,&,,,,
103115,76.434.562-2,2025-07-24,,,,
103116,76.436.723-5,2025-07-24,,,,
