Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
78.068.534-4,AUTOMOTRIZ,RENACE,SPA,2025-07-24,,,,
PABLO,RENE,HERRERA,OPAZO,,,,,
58595,76.327.535-3,CONSTRUCCION,DE,OBRAS,2025-07-24,,,
RANCHO,INTERACTIVO,CACHIMBA,,,,,,
58596,78.068.858-0,2025-07-24,,,,,,
58597,76.825.235-1,COMERCIALIZADORA,D,&,L,SPA,2025-07-24,
SERVICIOS,E,INVERSIONES,SAN,,,,,
58598,77.442.193-9,2025-07-24,,,,,,
58599,76.869.307-2,LOS,LIBROS,DEL,GATO,CAULLE,SPA,2025-07-24
"INGENIERÍA,",ELECTRICIDAD,Y,,,,,,
58600,78.069.427-0,2025-07-24,,,,,,
CONSTRUCCIÓN,PARETA,SPA,,,,,,
INVERSIONES,FITNESS,OLIVEROS,,,,,,
58601,76.490.344-7,2025-07-24,,,,,,
OSORIO,CHILE,LIMITADA,,,,,,
PATRICIA,SEPULVEDA,JARDIN,,,,,,
58602,76.088.927-K,2025-07-24,,,,,,
INFANTIL,MACARENA,E.I.R.L,,,,,,
58603,76.825.476-1,NOVABERRIES,SPA,2025-07-24,,,,
58604,77.103.635-K,COLMENARES,APIMAR,SPA,2025-07-24,,,
58605,76.902.543-K,2025-07-24,,,,,,
