Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.164.299-1,KPI,CONSULTORES,SPA,2025-07-24,,,
85230,78.013.827-0,2025-07-24,,,,,
85231,76.987.355-4,EPOX,SPA,2025-07-24,,,
VENTANAS,Y,PUERTA,EN,,,,
85232,77.967.022-8,2025-07-24,,,,,
PVC,J&M,SPA,,,,,
85233,78.071.208-2,2025-07-24,,,,,
85234,76.987.441-0,ASESORIAS,B,Y,R,SPA,2025-07-24
SOC,INMOBILIARIA,Y,,,,,
85235,77.994.920-6,CONSTRUCTORA,EL,2025-07-24,,,
85236,78.071.435-2,CARRITO,HELADO,SPA,2025-07-24,,
85237,76.987.699-5,LIBERRIOS,SPA,2025-07-24,,,
SOCIEDAD,TREMUN,DE,,,,,
85238,77.967.275-1,2025-07-24,,,,,
85239,78.165.119-2,2025-07-24,,,,,
