Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
AGO,SPA,2025-07-24,,,,,,
75631,CONSULTORA,PRO,SPA,2025-07-24,,,,
75632,COMERCIALIZADORA,Y,DISTRIBUIDORA,STUARDO,SPA,2025-07-24,,
75633,PRAXISTEC,SPA,2025-07-24,,,,,
75634,sociedad,J,Y,M,limitada,2025-07-24,,
75635,ALTAMIRA,CAPACITACIÓN,PROFESIONAL,LIMITADA,2025-07-24,,,
75636,OVALOKOLOR,SPA,2025-07-24,,,,,
75637,MERIDIONAL,CONSULTORES,SPA,2025-07-24,,,,
75638,CLEAN,&,GO,SPA,2025-07-24,,,
75639,Blue,Smile,Technology,2025-07-24,,,,
75640,SERVICIOS,DE,LIMPIEZA,INTEGRAL,JOSÉ,TOLOZA,E.I.R.L.,2025-07-24
75641,SOCIEDAD,COMERCIAL,CASTRO,E,HIJOS,LIMITADA,2025-07-24,
