Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.143.528-9,PAISAJISMO,PIENMO,SPA,2025-07-24,
67446,77.164.427-9,2025-07-24,,,
RIROROCO,HEY,SpA,,,
ENCLAVE,DIGITAL,CHILE,,,
67447,77.257.685-4,2025-07-24,,,
67448,77.445.666-K,RADIT,SPA,2025-07-24,
A,&amp;,G,,,
67449,77.144.028-2,2025-07-24,,,
PREFABRICADOS,HO,SPA,,,
SERVICIO,TECNICO,LUIS,,,
67450,76.503.048-K,TEJEDA,SOTOMAYOR,E.I.,2025-07-24
67451,77.782.916-5,MAXE,SPA,2025-07-24,
67452,77.267.399-K,2025-07-24,,,
SERVICIOS,E,INSUMOS,,,
67453,77.445.900-6,2025-07-24,,,
67454,77.176.545-9,INVERSIONES,XONKET,2025-07-24,
67455,77.165.239-5,INGENIERÍA,&amp;,2025-07-24,
