Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
106370,COMERCIAL,M,Y,M,
106371,78.120.674-1,TURISMO,MAGIA,Y,2025-07-24
ENCANTO,CHILOÉ,SPA,,,
106372,78.121.034-K,EFES,GIFTS,SPA,2025-07-24
106373,78.121.284-9,2025-07-24,,,
106374,78.121.712-3,2025-07-24,,,
106375,78.122.665-3,2025-07-24,,,
106376,78.123.296-3,2025-07-24,,,
106377,78.123.629-2,MARKET,SEI,SPA,2025-07-24
C,&,M,INGENIERIA,,
106378,78.123.697-7,2025-07-24,,,
106379,78.123.874-0,LENGA,LABS,SPA,2025-07-24
106380,78.124.434-1,2025-07-24,,,
106381,78.124.968-8,ASTEN,GOURMET,SPA,2025-07-24
