Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
77.862.678-0,LUBRICANTES,Y,2025-07-24,,,,,
98145,78.264.600-1,Jose,A.Larrain,V.y,Cia.Ltda.,2025-07-24,,
98146,78.269.200-3,DE,FACTO,S,A,2025-07-24,,
98147,77.863.071-0,2025-07-24,,,,,,
98148,78.276.630-9,RENTAL,AUTOS,S,A,2025-07-24,,
SOFTWARE,AND,SECURITY,,,,,,
98149,77.863.559-3,2025-07-24,,,,,,
DILO,CON,FOTOS,VALDIVIA,,,,,
98150,77.863.923-8,2025-07-24,,,,,,
98151,78.292.080-4,PUBLICITARIA,PUBLI-G,LTDA,2025-07-24,,,
98152,77.863.956-4,CONSTRUCCION,RIOCEL,2025-07-24,,,,
98153,77.864.439-8,D,Y,C,CORTE,LÁSER,SPA,2025-07-24
98154,78.305.700-K,2025-07-24,,,,,,
GOMEZ,CERDA,Y,CIA,LTDA,,,,
