Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
37769,TRANSPORTES,FLOVER,,,
37770,77.598.197-0,2025-07-24,,,
37771,77.598.773-1,DEL,PODER,SPA,2025-07-24
37772,77.600.110-4,MANTENCION,SERVICIOS,2025-07-24,
37773,76.701.779-0,Y,COMERCIALIZACION,DE,2025-07-24
INSUMOS,MEDICOS,SPA,,,
37774,77.615.438-5,2025-07-24,,,
37775,77.615.590-K,COMERCIALIZADORA,LA,2025-07-24,
37776,77.615.949-2,GRUPO,HECHIZO,SPA,2025-07-24
37777,77.616.059-8,GRUPO,ITH,SPA,2025-07-24
37778,76.702.540-8,2025-07-24,,,
37779,77.617.156-5,MEC,CHILE,SPA,2025-07-24
