Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
76.851.559-K,CIELOSUR,SPA,2025-07-24,,,,
81657,77.854.362-1,SERVITRANS,J&C,SPA,2025-07-24,,
81658,77.309.262-1,ARMANDO,MORA,GARCES,2025-07-24,,
81659,77.845.744-K,2025-07-24,,,,,
81660,77.908.228-8,CAPTACIONES,2025-07-24,,,,
81661,77.812.522-6,HIDRO,AETERNITAS,SPA,2025-07-24,,
81662,77.914.547-6,ULTRATECHNICAL,2025-07-24,,,,
81663,76.852.065-8,CULTURALES,CLAUDIA,2025-07-24,,,
81664,77.855.219-1,INGENIERÍA,Y,2025-07-24,,,
81665,77.914.643-K,2025-07-24,,,,,
81666,76.852.081-K,K,&,R,SISTEMAS,SPA,2025-07-24
