Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.352.010-9,CIDIAL,2025-07-24,,,,,
106544,78.372.940-7,2025-07-24,,,,,
106545,78.373.400-1,ALEX,NEIRA,Y,CIA,LTDA,2025-07-24
106546,78.389.930-2,ALTRAMUZ,LIMITADA,2025-07-24,,,
106547,78.409.450-2,2025-07-24,,,,,
106548,78.422.100-8,2025-07-24,,,,,
106549,78.426.810-1,TUXPAN,INGENIERIA,SPA,2025-07-24,,
106550,78.435.120-3,2025-07-24,,,,,
106551,78.445.970-5,2025-07-24,,,,,
SOC,DE,INVERSIONES,,,,,
106552,78.471.820-4,2025-07-24,,,,,
106553,78.494.380-1,2025-07-24,,,,,
106554,78.511.830-8,2025-07-24,,,,,
