Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.429.575-5,ARTE,IMPRESA,SPA,2025-07-24,
70176,76.864.594-9,CHILETRUSS,SPA,2025-07-24,
70177,77.887.795-3,2025-07-24,,,
70178,77.370.591-7,MILLA,ZEPEDA,SPA,2025-07-24
70179,77.296.433-1,NUDO,SPA,2025-07-24,
Luis,Alejandro,Santibañez,,,
70180,76.667.102-0,2025-07-24,,,
70181,76.864.811-5,FEMUN,SPA,2025-07-24,
70182,77.302.633-5,CAPACITACIÓN,2025-07-24,,
70183,76.298.924-7,2025-07-24,,,
70184,77.584.205-9,2025-07-24,,,
70185,77.296.496-K,ALUN,AYEN,SPA,2025-07-24
70186,77.394.373-7,COMERCIAL,SUIZA,SPA,2025-07-24
