Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10
ASESORÍAS,PROFESIONALES,MUÑOZ,Y,MARCHANT,LIMITADA,2025-07-24,,,
75786,MANTENCIONES,RODRIGO,VALENZUELA,E.I.R.L.,2025-07-24,,,,
75787,AGENCIA,NALKA,LIMITADA,2025-07-24,,,,,
75788,CENTER,OF,GLOBAL,LANGUAGES,SPA,2025-07-24,,,
75789,AGENCIA,DE,DESARROLLO,DE,IDEAS,LA,CREW,SPA,2025-07-24
75790,NKP,SALUD,LIMITADA,2025-07-24,,,,,
75791,GMT,SPA,2025-07-24,,,,,,
75792,MUEBLERÍA,GEORGE,SPA,2025-07-24,,,,,
75793,Maderas,Anchile,Spa,2025-07-24,,,,,
77.582.321-,SERVICIO,DE,EVENTOS,YOHANNA,STEPHANIE,DE,JESUS,,
6,PALAVECINO,MALVINO,E.I.,,,,,,
75795,DOMINGUEZ,&,CO,LIMITADA,2025-07-24,,,,
75796,RED,DE,TRANSPORTE,Y,MAQUINARIAS,LIMITADA,2025-07-24,,
