Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
INGENIERIA,Y,SERVICIOS,,,,,
76.260.027-7,INDUSTRIALES,SIDU,2025-07-24,,,,
102824,76.260.840-5,2025-07-24,,,,,
SOCIEDAD,RIOSECO,-,ROJAS,,,,
102825,76.260.963-0,2025-07-24,,,,,
102826,76.261.224-0,AEROHOLDING,2025-07-24,,,,
102827,76.261.548-7,Krea,Energia,Limitada,2025-07-24,,
102828,76.261.705-6,Rembre,SpA,2025-07-24,,,
102829,76.261.794-3,2025-07-24,,,,,
Serv,Pedro,Henriquez,chacon,,,,
102830,76.261.867-2,2025-07-24,,,,,
102831,76.262.174-6,2BRAINS,SPA,2025-07-24,,,
Ingenieria,y,Construccion,,,,,
102832,76.262.464-8,2025-07-24,,,,,
SALA,CUNA,Y,JARDIN,,,,
102833,76.263.559-3,INFANTIL,LA,MAGIA,DE,LOS,2025-07-24
