Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
66293,MCM,INGENIERÍA,Y,,,,
66294,76.756.414-7,V,&,V,SECURITY,SPA,2025-07-24
66295,76.438.226-9,GALVEZ,&,MORENO,2025-07-24,,
66296,77.188.507-1,LA,TIENDITA,SORDA,SPA,2025-07-24,
INGENIERÍA,Y,SERVICIOS,,,,,
66297,77.735.382-9,2025-07-24,,,,,
66298,77.214.546-2,2025-07-24,,,,,
marcelo,sebastian,lagos,,,,,
66299,76.703.460-1,mora,servicio,tecnico,2025-07-24,,
66300,76.134.972-4,2025-07-24,,,,,
66301,77.209.667-4,2025-07-24,,,,,
INDUSTRIAL,LINDOR,SPA,,,,,
66302,77.107.521-5,PROFESIONALES,FENIX,2025-07-24,,,
66303,77.214.624-8,DE,CAMPO,Y,MAR,SPA,2025-07-24
