Campo_1,Campo_2,Campo_3,Campo_4,Campo_5
79.711.380-8,PROYECTOS,Y,2025-07-24,
87820,78.206.221-2,NORTECLARO,SPA,2025-07-24
87821,78.113.916-5,2025-07-24,,
87822,79.724.040-0,2025-07-24,,
Y,COMPUTACION,S.A.,,
87823,77.657.107-5,OSITEL,SPA,2025-07-24
87824,78.114.127-5,EDIFICA,SPA,2025-07-24
87825,78.140.512-4,ZERUZ,SPA,2025-07-24
87826,77.111.798-8,2025-07-24,,
87827,8.702.616-7,2025-07-24,,
BELTRAN,&,RICHTER,,
87828,78.114.445-2,ARQUITECTURA,Y,2025-07-24
87829,77.112.357-0,2025-07-24,,
Y,VILLEGAS,SPA,,
