Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
78.051.336-5,IFER,SPA,2025-07-24,,,,
74225,77.592.162-5,2025-07-24,,,,,
MARKETING,Y,PUBLICIDAD,,,,,
74226,76.867.677-1,FRANCY,MARICEL,2025-07-24,,,
74227,77.034.823-4,CAPACITACIÓN,EN,2025-07-24,,,
74228,78.051.563-5,J,&,J,ASOCIADOS,SPA,2025-07-24
74229,77.592.481-0,SURBIOMEDICA,SPA,2025-07-24,,,
74230,77.587.965-3,PARTNER,SUR,LIMITADA,2025-07-24,,
74231,77.479.163-9,INVERSIONES,DEL,LAGO,SPA,2025-07-24,
J,Y,V,INGENIEROS,CIVILES,,,
74232,78.052.083-3,2025-07-24,,,,,
74233,77.593.754-8,RECYCLED,SPA,2025-07-24,,,
74234,77.500.968-3,DEINCO,SPA,2025-07-24,,,
