Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
81.271.100-8,DETROIT,S.A.,2025-07-24,,
POMPEYO,CARRASCO,Y,,,
100428,81.318.700-0,2025-07-24,,,
100429,81.359.000-K,2025-07-24,,,
SUZARTE,Y,CIA,LIMITADA,,
FABRICA,DE,CALZADOS,,,
100430,81.407.200-2,2025-07-24,,,
GINO,S,A,,,
CORP,DE,RADIO,,,
100431,81.640.900-4,2025-07-24,,,
100432,81.706.600-3,DONNEBAUM,S.A.,2025-07-24,
100433,82.292.700-9,RFA,INGENIEROS,LTDA,2025-07-24
FERRETERIA,SAN,MARTIN,,,
100434,82.350.300-8,2025-07-24,,,
100435,82.574.000-7,2025-07-24,,,
100436,83.001.500-0,2025-07-24,,,
100437,83.019.900-4,2025-07-24,,,
LINEA,DE,AERO,SERVICIOS,,
100438,83.054.200-0,2025-07-24,,,
