Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
77.431.224-2,CONSTRUCCIONES,SYO,SPA,2025-07-24,,,,
71253,76.352.565-1,Organismo,técnico,de,Capacitación,Humannet,Spa.,2025-07-24
71254,77.631.534-6,SOCIEDAD,AGUA,PURIFICADA,RELONCAVÍ,SPA,2025-07-24,
SOCIEDAD,CENTRO,DE,ESTUDIOS,Y,,,,
71255,76.908.746-K,2025-07-24,,,,,,
LABORATORIOS,CELAB,Y,COMPANIA,LIMITADA,,,,
71256,77.341.175-1,COMERCIALIZADORA,CANEPA,SPA,2025-07-24,,,
71257,77.364.866-2,MAESTRANZA,SOBARZO,SPA,2025-07-24,,,
COM.,SEBASTIAN,MARIO,CISTERNA,ARAVENA,,,,
71258,76.353.892-3,2025-07-24,,,,,,
GRUPO,ZUMA,TECNOLOGIA,Y,SERVICIOS,,,,
71259,76.908.923-3,2025-07-24,,,,,,
71260,77.447.915-5,FABRICA,Y,COMERCIAL,PACLAU,SPA,2025-07-24,
71261,76.909.081-9,LIRA,Y,NAVARRETE,SPA,2025-07-24,,
71262,77.929.283-5,ECOVAXT,AGRICULTURA,E,INNOVACION,SPA,2025-07-24,
71263,77.631.620-2,WEB,CENTURY,CHILE,LIMITADA,2025-07-24,,
