Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,,,,
77.933.289-6,LOCOS,POR,LAS,TELAS,SPA,2025-07-24,,
71409,77.636.014-7,YECO,CAPACITACIONES,SPA,2025-07-24,,,
71410,76.926.901-0,JASH,INGENIERIA,SPA,2025-07-24,,,
CONSTRUCCIONES,ARIEL,EDUARDO,ARROYO,,,,,
71411,77.372.964-6,2025-07-24,,,,,,
71412,76.359.177-8,GESTION,LOGISTICA,MOLINA,Y,CORRAL,LIMITADA,2025-07-24
71413,76.733.711-6,INVERSIONES,LAGOS,SPA,2025-07-24,,,
71414,77.350.611-6,DIGITAL,HIVE,GROUP,SPA,2025-07-24,,
71415,76.926.968-1,INVERSIONES,SUSTENTABLES,ZAGAZA,SPA,2025-07-24,,
71416,76.360.041-6,MAQUINARIAS,Y,EQUIPOS,SAN,SEBASTIAN,SPA,2025-07-24
SOCIEDAD,CARDENAS,&,CARDENAS,Y,COMPAÑIA,,,
71417,77.485.152-6,2025-07-24,,,,,,
71418,77.637.794-5,FATUM,SPA,2025-07-24,,,,
71419,76.927.370-0,CONSTR,Y,COMERCIALIZADORA,UTRERAS,LTDA,2025-07-24,
