Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
99338,AUSTRALIS,CAPITAL,,,,
99339,78.150.124-7,YO,LO,COMPRO,SPA,2025-07-24
CONSTRUCTORA,E,INMOBILIARIA,,,,
99340,78.150.274-K,2025-07-24,,,,
LOS,PABLOS,SPA,,,,
99341,78.151.751-8,2025-07-24,,,,
99342,78.152.164-7,TECHNOVATION,ANCUD,SPA,2025-07-24,
TESTING,INGENIERIA,DE,,,,
99343,78.152.280-5,2025-07-24,,,,
SERVICIOS,DE,PUBLICIDAD,,,,
99344,78.152.946-K,2025-07-24,,,,
NICOLE,TORO,DIAZ,E.I.R.L.,,,
99345,78.154.006-4,IMPACTIA+,SPA,2025-07-24,,
99346,78.154.459-0,SUMINISTROS,PATAGONIA,SPA,2025-07-24,
99347,78.154.764-6,UNIC,SEGURIDAD,SPA,2025-07-24,
99348,78.155.540-1,PROTERM,S.A.,2025-07-24,,
99349,78.156.353-6,COMUNICACIONES,MAULE,SPA,2025-07-24,
