Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
63463,CONFECCIONES,JORGE,,,,
AGENCIA,DE,VIAJES,,,,
63464,77.609.717-9,ANDREA,ALARCÓN,2025-07-24,,
63465,76.681.838-2,CONSTRUCCIÓN,COAR,2025-07-24,,
Agrícola,y,Ganadera,San,,,
63466,77.090.370-K,2025-07-24,,,,
Vicente,de,Menetue,S.A.,,,
63467,77.009.871-8,CONSTRUCCIÓN,2025-07-24,,,
63468,77.003.594-5,2025-07-24,,,,
63469,76.032.872-3,Vitasystem,Ltda,2025-07-24,,
63470,77.268.118-6,RESTAURANTE,2025-07-24,,,
63471,77.098.741-5,MT,CLIMATIZACION,SPA,2025-07-24,
63472,76.544.781-K,2025-07-24,,,,
63473,77.003.860-K,RIESGOS,Y,SEGURIDAD,2025-07-24,
