Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,
77.783.549-1,KARIN,BORGEAUD,SPA,2025-07-24,,,,
95337,78.104.063-0,D&F,SERVICES,SPA,2025-07-24,,,
95338,78.104.608-6,JIVEX,SPA,2025-07-24,,,,
95339,77.784.016-9,ICRC,SPA,2025-07-24,,,,
95340,77.784.291-9,GLASS,R.A.N.,SPA,2025-07-24,,,
95341,78.105.024-5,CONFECCIONES,FUTURO,2025-07-24,,,,
95342,77.784.627-2,2025-07-24,,,,,,
MEDICO,GENERAL,CON,,,,,,
95343,78.105.136-5,2025-07-24,,,,,,
SALUD,MENTAL,PABLO,,,,,,
95344,77.785.164-0,SERVICIOS,L,Y,L,LA,SPA,2025-07-24
95345,78.105.692-8,2025-07-24,,,,,,
95346,78.106.103-4,SOLUCIONES,DIGUILLÍN,2025-07-24,,,,
