Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
CARNES,Y,CECINAS,LA,,,,,,,
73001,77.461.202-5,2025-07-24,,,,,,,,
73002,77.994.693-2,DAAL,LIMITADA,2025-07-24,,,,,,
ARTICULOS,DE,ASEO,,,,,,,,
73003,77.539.102-2,2025-07-24,,,,,,,,
IVETTE,DEL,CARMEN,,,,,,,,
73004,77.700.767-K,2025-07-24,,,,,,,,
73005,76.993.495-2,KUNSANG,SPA,2025-07-24,,,,,,
73006,76.815.926-2,INGENIERIA,Y,2025-07-24,,,,,,
73007,77.994.708-4,2025-07-24,,,,,,,,
CONTRUCCION,M.A.G.,SPA,,,,,,,,
73008,77.539.541-9,DEPORTIVAS,BESARES,2025-07-24,,,,,,
73009,77.701.382-3,CAP,GROW,SPA,2025-07-24,,,,,
LOS,PINGOS,DE,,,,,,,,
73010,77.462.493-7,2025-07-24,,,,,,,,
