Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
E.I.R.L.,TRANSPORTE,DE,,,
76.782.064-K,PASAJEROS,HERNAN,2025-07-24,,
INGENIERIA,Y,SERVICIOS,,,
56755,78.167.913-5,2025-07-24,,,
56756,76.763.259-2,YAGÁN,FILMS,SPA,2025-07-24
56757,78.021.482-1,2025-07-24,,,
CONSTRUCCION,RYF,SPA,,,
CONZAMA,INGENIERÍA,Y,,,
56758,78.168.487-2,2025-07-24,,,
56759,76.782.103-4,ARQ,SPA,2025-07-24,
FERNANDEZ,E,HIJO,,,
56760,78.666.180-3,2025-07-24,,,
56761,76.783.158-7,2025-07-24,,,
56762,76.238.608-9,2025-07-24,,,
56763,76.742.444-2,2025-07-24,,,
56764,78.169.149-6,ICONOTEC,SPA,2025-07-24,
