Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
HERNAN,ESPEJO,Y,,,,
83938,77.964.690-4,2025-07-24,,,,
83939,77.484.104-0,KH2,CAPACITACION,SPA,2025-07-24,
83940,76.933.501-3,2025-07-24,,,,
83941,78.092.640-6,MCG,CHILE,SPA,2025-07-24,
83942,77.964.826-5,INMOBILIARIA,2025-07-24,,,
83943,77.484.359-0,GOVER,SPA,2025-07-24,,
83944,78.005.816-1,2025-07-24,,,,
83945,77.943.901-1,GUPSATEC,SPA,2025-07-24,,
83946,77.957.499-7,NORUEGA,ELECTRIC,SPA,2025-07-24,
83947,77.485.794-K,MERCADO,HOUSE,SPA,2025-07-24,
