Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
77.839.912-1,EKINOXIO,SPA,2025-07-24,,
105673,77.840.324-2,2025-07-24,,,
105674,77.840.377-3,ALENEC,SPA,2025-07-24,
105675,77.841.594-1,RDR,ESTRUCTURAS,SPA,2025-07-24
105676,77.842.084-8,2025-07-24,,,
105677,77.842.136-4,2025-07-24,,,
105678,77.842.548-3,CERRAJERIA,SPA,2025-07-24,
105679,77.842.921-7,STUDIO27,SPA,2025-07-24,
105680,77.843.472-5,DISTRIBUIDORA,VALTI,2025-07-24,
105681,77.843.876-3,2025-07-24,,,
105682,77.845.325-8,LATITUD,MAULE,SPA,2025-07-24
