Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
86.211.800-6,FERROBAL,LTDA,2025-07-24,,,
CONS,EN,"ARQ,DISENO,ARTE,",,,,
79851,77.841.330-2,GEST,CULT,Y,TEATRAL,2025-07-24
79852,77.195.448-0,AHV,ELECTRICIDAD,SPA,2025-07-24,
79853,77.781.980-1,Helpnet,Ingeniería,2025-07-24,,
79854,86.418.100-7,2025-07-24,,,,
CÁRDENAS,&,CARRUYO,,,,
79855,77.829.706-K,SOCIEDAD,DE,MÉDICOS,2025-07-24,
79856,77.730.224-8,2025-07-24,,,,
79857,77.782.127-K,LA,FARMER,SPA,2025-07-24,
GAYEN,AUSTRAL,ARTE,Y,,,
79858,77.829.923-2,2025-07-24,,,,
79859,77.842.230-1,2025-07-24,,,,
79860,76.773.778-5,CONSTRUCCIÓN,ELIAS,2025-07-24,,
