Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9,Campo_10,Campo_11
Documento,generado,el,25,de,Julio,del,2025,a,las,02:00:08
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,,,,
78001,76.690.063-1,2025-07-24,,,,,,,,
ALAMIRO,ALVARADO,Y,,,,,,,,
78002,79.614.450-5,2025-07-24,,,,,,,,
78003,77.850.582-7,CAPACITACIÓN,GRAVITY,2025-07-24,,,,,,
78004,77.681.327-3,HGS,SPA,2025-07-24,,,,,,
AFG,MANTENCION,Y,,,,,,,,
78005,77.758.591-6,2025-07-24,,,,,,,,
78006,77.130.667-5,MÉDICAS,INTEGRALES,Y,2025-07-24,,,,,
78007,77.641.670-3,CONSTRUCCION,TIERRA,2025-07-24,,,,,,
DEL,FUEGO,LIMITADA,,,,,,,,
78008,76.691.085-8,EVENTOS,NICOLÁS,2025-07-24,,,,,,
78009,77.130.827-9,ROSA,MADRID,ROQUE,E.I.,2025-07-24,,,,
78010,77.159.827-7,2025-07-24,,,,,,,,
