Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
100324,CONSTRUCTORA,SOINCO,,,
100325,77.961.552-9,COMERCIAL,C&C,SPA,2025-07-24
100326,77.961.816-1,PI,GROUP,SPA,2025-07-24
MDG,DISEÑO,Y,,,
100327,77.962.849-3,2025-07-24,,,
MARCHANT,&,BRAVO,,,
100328,77.963.303-9,CORREDORES,DE,2025-07-24,
"EQUIPOS,",INSUMOS,Y,DE,,
100329,77.963.371-3,2025-07-24,,,
100330,77.963.577-5,2025-07-24,,,
INSUMOS,MARTÍNEZ,Y,,,
100331,77.963.981-9,2025-07-24,,,
100332,77.964.358-1,COMERCIAL,CG,SPA,2025-07-24
100333,77.964.369-7,2025-07-24,,,
AUDIOVISUAL,Y,DISEÑO,,,
100334,77.964.646-7,MAURICIO,MORGADO,2025-07-24,
