Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
78.116.308-2,DON,REGION,SPA,2025-07-24,,
87874,79.888.170-1,INSPECTA,S,A,2025-07-24,
CLIMA,REFRIGERACION,Y,,,,
87875,77.112.448-8,ELECTRICIDAD,RAUL,2025-07-24,,
87876,8.736.623-5,2025-07-24,,,,
87877,79.891.410-3,2025-07-24,,,,
87878,77.113.459-9,GLOBAL,SUPLY,SPA,2025-07-24,
87879,78.157.206-3,UV,CHILE,SPA,2025-07-24,
87880,77.659.987-5,2025-07-24,,,,
87881,78.117.572-2,2025-07-24,,,,
EDUCACION,VIVO,VERDE,,,,
87882,78.143.571-6,BAN,PRODUCCIONES,SPA,2025-07-24,
87883,77.660.154-3,2025-07-24,,,,
