Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6
84143,78.023.788-0,ALMA,LEON,SPA,2025-07-24
SALUD,Y,TERRITORIO,,,
84144,77.950.494-8,2025-07-24,,,
EMPRESA,DE,RECURSOS,,,
84145,78.103.984-5,2025-07-24,,,
84146,77.950.737-8,2025-07-24,,,
84147,78.104.157-2,INNOVAMENTE,SPA,2025-07-24,
84148,78.024.164-0,SOLUCIONES,2025-07-24,,
84149,76.940.563-1,PROSELEK,SPA,2025-07-24,
84150,77.965.716-7,2025-07-24,,,
COMPRA,VENTA,Y,,,
84151,77.502.512-3,2025-07-24,,,
AGUA,CONSTRUCCIÓN,Y,,,
TRANSPORTE,SILVA,SPA,,,
