Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
77.960.655-4,SECURITY,OFFICER,2025-07-24,,,
83991,77.490.616-9,VHMC,SPA,2025-07-24,,
83992,77.947.884-K,2025-07-24,,,,
DREAM,QUALITY,CHILE,,,,
83993,78.008.056-6,2025-07-24,,,,
GABRIEL,PASTEN,ARAYA,,,,
83994,77.966.378-7,SERVICIOS,ELECTRICOS,2025-07-24,,
83995,77.492.197-4,CAMYOI,SPA,2025-07-24,,
AYM,ASESORÍAS,Y,,,,
83996,77.919.071-4,2025-07-24,,,,
"SALGADO,",DURÁN,Y,,,,
83997,77.492.263-6,2025-07-24,,,,
83998,78.008.405-7,TRANSPORTES,ME,SPA,2025-07-24,
DISEÑOS,PRODUCCION,Y,,,,
83999,77.492.397-7,2025-07-24,,,,
EASY,TRADE,&,BUSINESS,,,
84000,77.960.787-9,2025-07-24,,,,
