Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
SERGIO,LIRA,GUTIERREZ,2025-07-24,,,,
75228,CNNCALAMA,SPA,2025-07-24,,,,
75229,INVERSIONES,MJ,SPA,2025-07-24,,,
75230,CLIMATIZACIÓN,JORGE,EUFRACIO,REYES,SILVA,E.I.R.L.,2025-07-24
75231,SELKIS,SPA,2025-07-24,,,,
75232,COLQY,ROLLERS,PATAGONIA,CHILENA,SPA,2025-07-24,
75233,COMERCIAL,BORDONA,SPA,2025-07-24,,,
75234,MURARIA,ARQUITECTURA,&,PATRIMONIO,SPA,2025-07-24,
77.559.011-,SOPORTE,INFORMÁTICO,Y,SEGURIDAD,EN,TELEVIGILANCIA,
75236,DISTRIBUIDORA,SUEÑOS,SPA,2025-07-24,,,
75237,HORMIGONERA,CABRERA,SPA,2025-07-24,,,
75238,Karsharing,SPA,2025-07-24,,,,
