Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización
102933,DE,MAQUINARIAS,,,,
CONSTRUCCION,TOLVAS,D,,,,
INDUSTRIAL,Y,COMERCIAL,,,,
102934,76.321.680-2,2025-07-24,,,,
102935,76.321.923-2,TRACK,GROUP-CHILE,SPA,2025-07-24,
102936,76.323.810-5,2025-07-24,,,,
102937,76.324.576-4,KAWAS,COFFEE,SPA,2025-07-24,
servicios,y,montajes,,,,
102938,76.324.794-5,2025-07-24,,,,
102939,76.326.424-6,2025-07-24,,,,
102940,76.327.225-7,Stencil,&,Stickers,SpA,2025-07-24
102941,76.329.168-5,2025-07-24,,,,
102942,76.329.993-7,2025-07-24,,,,
Miranda,Mazzarelli,Limitada,,,,
TECNOWEB,INTERNET,CHILE,,,,
102943,76.330.440-K,2025-07-24,,,,
