Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8,Campo_9
R&H,AUTOMATIZACIÓN,INDUSTRIAL,SPA,2025-07-24,,,,
75525,ER,TRENCHLESS,CHILE,SPA,2025-07-24,,,
75526,COMERCIALIZADORA,NEXACOM,SPA,2025-07-24,,,,
75527,COMERCIAL,E,INDUSTRIAL,ORION,CHILE,SPA,2025-07-24,
75528,SOPORTE,GLOBAL,SPA,2025-07-24,,,,
75529,AGUAS,AUSTRALES,SPA,2025-07-24,,,,
75530,SOCIEDAD,DE,LA,CASA,GOURMET,LIMITADA,2025-07-24,
75531,PRESERCON,SPA,2025-07-24,,,,,
75532,AUTOMOTRIZ,CARTONI,HERMANOS,LIMITADA,2025-07-24,,,
75533,PLAY,ROLLER,SPA,2025-07-24,,,,
77.573.396-,CITYTAP,NETWORKING,Y,MARKETING,TI,ANGELA,DIAZ,MOLINA
75535,GRAFIKEN,SPA,2025-07-24,,,,,
